สำนักงานคุมประพฤติ,เดือน ต.ค.2565,เดือน พ.ย.2565,เดือน ธ.ค.2565,เดือน ม.ค.2566,เดือน ก.พ.2566,เดือน มี.ค.2566,เดือน เม.ย.2566,เดือน พ.ค.2566,เดือน มิ.ย.2566,เดือน ก.ค.2566,เดือน ส.ค.2566,เดือน ก.ย.2566,year_be
สำนักงานคุมประพฤติกรุงเทพมหานคร 1,81,83,45,68,42,58,59,55,75,60,67,97,2566
สำนักงานคุมประพฤติกรุงเทพมหานคร 2,276,211,299,291,123,127,508,223,229,283,315,235,2566
สำนักงานคุมประพฤติกรุงเทพมหานคร 3,330,153,147,155,31,28,186,111,136,83,136,104,2566
สำนักงานคุมประพฤติกรุงเทพมหานคร 4,293,519,318,370,162,129,313,307,224,153,252,218,2566
สำนักงานคุมประพฤติกรุงเทพมหานคร 5,19,11,3,25,7,3,25,4,3,2,7,1,2566
สำนักงานคุมประพฤติกรุงเทพมหานคร 6,57,41,20,19,28,38,47,24,21,17,10,20,2566
สำนักงานคุมประพฤติกรุงเทพมหานคร 7,93,79,105,66,85,153,42,90,124,85,119,85,2566
สำนักงานคุมประพฤติกรุงเทพมหานคร 8,36,43,53,44,38,47,46,70,46,41,57,54,2566
สำนักงานคุมประพฤติกรุงเทพมหานคร 9,54,31,41,33,26,61,83,55,54,23,23,24,2566
สำนักงานคุมประพฤติกรุงเทพมหานคร 10,62,45,55,40,56,60,42,65,48,39,75,63,2566
สำนักงานคุมประพฤติกรุงเทพมหานคร 11,115,83,115,86,68,44,114,73,57,101,70,20,2566
สำนักงานคุมประพฤติจังหวัดกระบี่,102,138,140,105,127,147,44,48,57,52,36,43,2566
สำนักงานคุมประพฤติจังหวัดกาญจนบุรี,113,56,51,61,53,53,36,41,35,50,32,57,2566
สำนักงานคุมประพฤติจังหวัดกาฬสินธุ์,582,461,433,667,366,657,569,477,322,301,332,311,2566
สำนักงานคุมประพฤติจังหวัดกำแพงเพชร,212,191,241,288,95,186,360,174,131,127,165,131,2566
สำนักงานคุมประพฤติจังหวัดขอนแก่น,624,688,560,606,390,468,453,555,268,253,275,260,2566
สำนักงานคุมประพฤติจังหวัดขอนแก่น สาขาชุมแพ,176,179,143,185,85,98,219,130,83,101,133,101,2566
สำนักงานคุมประพฤติจังหวัดขอนแก่น สาขาพล,191,276,172,235,135,139,250,170,188,93,112,115,2566
สำนักงานคุมประพฤติจังหวัดจันทบุรี,188,170,198,384,132,194,267,169,114,142,172,173,2566
สำนักงานคุมประพฤติจังหวัดฉะเชิงเทรา,235,184,172,319,140,194,379,160,150,157,237,226,2566
สำนักงานคุมประพฤติจังหวัดชลบุรี,503,640,383,448,280,410,515,485,475,370,452,461,2566
สำนักงานคุมประพฤติจังหวัดชัยนาท,111,250,164,149,105,111,179,94,147,140,124,97,2566
สำนักงานคุมประพฤติจังหวัดชัยภูมิ,117,143,103,126,138,159,165,152,89,127,131,81,2566
สำนักงานคุมประพฤติจังหวัดชัยภูมิ สาขาภูเขียว,91,85,96,284,100,136,277,105,70,101,81,123,2566
สำนักงานคุมประพฤติจังหวัดชุมพร,125,151,90,169,86,135,131,148,67,56,67,64,2566
สำนักงานคุมประพฤติจังหวัดชุมพร สาขาหลังสวน,143,62,78,83,88,88,83,59,43,71,56,59,2566
สำนักงานคุมประพฤติจังหวัดเชียงราย,221,206,260,356,247,290,418,281,154,175,181,153,2566
สำนักงานคุมประพฤติจังหวัดเชียงราย สาขาเทิง,91,79,72,207,64,102,149,70,67,61,56,57,2566
สำนักงานคุมประพฤติจังหวัดเชียงใหม่,415,326,206,496,210,277,602,343,288,246,299,317,2566
สำนักงานคุมประพฤติจังหวัดเชียงใหม่ สาขาฝาง,59,59,65,68,43,41,55,39,25,26,34,46,2566
สำนักงานคุมประพฤติจังหวัดตรัง,209,260,254,268,192,158,197,195,131,133,122,107,2566
สำนักงานคุมประพฤติจังหวัดตราด,50,62,62,91,57,69,105,60,70,62,75,48,2566
สำนักงานคุมประพฤติจังหวัดตาก,119,65,108,125,38,75,110,69,78,54,81,55,2566
สำนักงานคุมประพฤติจังหวัดตาก สาขาแม่สอด,63,46,55,104,17,52,61,38,35,29,45,35,2566
สำนักงานคุมประพฤติจังหวัดนครนายก,216,187,168,269,167,190,221,182,123,104,134,148,2566
สำนักงานคุมประพฤติจังหวัดนครปฐม,311,636,229,315,213,170,199,150,73,79,133,114,2566
สำนักงานคุมประพฤติจังหวัดนครพนม,384,315,365,494,297,462,521,267,192,249,239,186,2566
สำนักงานคุมประพฤติจังหวัดนครราชสีมา,217,210,158,167,144,238,70,88,138,110,86,113,2566
สำนักงานคุมประพฤติจังหวัดนครราชสีมา สาขาบัวใหญ่,55,72,68,62,45,55,106,55,36,36,45,44,2566
สำนักงานคุมประพฤติจังหวัดนครราชสีมา สาขาพิมาย,38,52,34,90,16,34,35,34,20,28,49,26,2566
สำนักงานคุมประพฤติจังหวัดนครราชสีมา สาขาสีคิ้ว,123,127,105,134,130,109,113,118,65,83,101,92,2566
สำนักงานคุมประพฤติจังหวัดนครศรีธรรมราช,506,534,435,382,286,317,276,232,128,148,130,100,2566
สำนักงานคุมประพฤติจังหวัดนครศรีธรรมราช สาขาทุ่งสง,297,231,207,253,219,277,322,303,118,177,188,143,2566
สำนักงานคุมประพฤติจังหวัดนครสวรรค์,276,301,278,406,212,252,350,230,193,181,245,216,2566
สำนักงานคุมประพฤติจังหวัดนนทบุรี,371,305,439,467,231,312,644,226,141,257,187,175,2566
สำนักงานคุมประพฤติจังหวัดนราธิวาส,34,31,15,38,36,22,25,32,32,40,40,55,2566
สำนักงานคุมประพฤติจังหวัดน่าน,220,241,252,262,162,213,195,191,140,111,191,143,2566
สำนักงานคุมประพฤติจังหวัดบึงกาฬ,335,126,82,98,82,73,39,72,66,44,48,40,2566
สำนักงานคุมประพฤติจังหวัดบุรีรัมย์,101,94,139,297,111,176,447,160,92,115,109,111,2566
สำนักงานคุมประพฤติจังหวัดบุรีรัมย์ สาขานางรอง,63,63,50,114,69,77,117,72,71,70,55,75,2566
สำนักงานคุมประพฤติจังหวัดปทุมธานี,276,364,246,542,244,336,490,288,177,252,269,256,2566
สำนักงานคุมประพฤติจังหวัดประจวบคีรีขันธ์,213,232,111,74,65,89,83,71,64,80,91,84,2566
สำนักงานคุมประพฤติจังหวัดประจวบคีรีขันธ์ สาขาหัวหิน,150,211,104,99,72,85,106,75,60,50,102,55,2566
สำนักงานคุมประพฤติจังหวัดปราจีนบุรี,106,132,68,125,87,99,112,69,27,24,65,68,2566
สำนักงานคุมประพฤติจังหวัดปราจีนบุรี  สาขากบินทร์บุรี,102,57,51,76,63,74,48,40,21,29,33,30,2566
สำนักงานคุมประพฤติจังหวัดปัตตานี,137,109,86,55,96,58,60,103,72,49,77,87,2566
สำนักงานคุมประพฤติจังหวัดพระนครศรีอยุธยา,211,180,146,360,172,197,383,231,133,129,88,54,2566
สำนักงานคุมประพฤติจังหวัดพะเยา,195,236,227,279,126,181,220,128,73,99,117,158,2566
สำนักงานคุมประพฤติจังหวัดพังงา,38,46,61,33,35,47,61,58,38,53,57,38,2566
