สำนักงานคุมประพฤติ,เดือน ต.ค.2564,เดือน พ.ย.2564,เดือน ธ.ค.2564,เดือน ม.ค.2565,เดือน ก.พ.2565,เดือน มี.ค.2565,เดือน เม.ย.2565,เดือน พ.ค.2565,เดือน มิ.ย.2565,เดือน ก.ค.2565,เดือน ส.ค.2565,เดือน ก.ย.2565,year_be,เดือน ต.ค.2565,เดือน พ.ย.2565,เดือน ธ.ค.2565,เดือน ม.ค.2566,เดือน ก.พ.2566,เดือน มี.ค.2566,เดือน เม.ย.2566,เดือน พ.ค.2566,เดือน มิ.ย.2566,เดือน ก.ค.2566,เดือน ส.ค.2566,เดือน ก.ย.2566
สำนักงานคุมประพฤติกรุงเทพมหานคร 1,27.0,41.0,54.0,33.0,31.0,38.0,58.0,35.0,43.0,45.0,52.0,59.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติกรุงเทพมหานคร 2,30.0,45.0,145.0,178.0,47.0,68.0,253.0,119.0,161.0,261.0,298.0,230.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติกรุงเทพมหานคร 3,27.0,31.0,37.0,77.0,40.0,65.0,126.0,133.0,187.0,129.0,223.0,133.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติกรุงเทพมหานคร 4,36.0,59.0,88.0,203.0,133.0,221.0,245.0,244.0,308.0,271.0,299.0,214.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติกรุงเทพมหานคร 5,4.0,8.0,8.0,10.0,18.0,7.0,12.0,10.0,17.0,21.0,17.0,14.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติกรุงเทพมหานคร 6,14.0,14.0,36.0,23.0,23.0,24.0,27.0,22.0,27.0,15.0,27.0,20.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติกรุงเทพมหานคร 7,55.0,68.0,91.0,56.0,66.0,93.0,66.0,78.0,78.0,70.0,103.0,97.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติกรุงเทพมหานคร 8,16.0,32.0,77.0,56.0,44.0,56.0,36.0,53.0,54.0,47.0,49.0,46.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติกรุงเทพมหานคร 9,16.0,28.0,33.0,20.0,19.0,18.0,38.0,37.0,31.0,25.0,43.0,26.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติกรุงเทพมหานคร 10,31.0,43.0,54.0,49.0,45.0,73.0,58.0,45.0,89.0,77.0,113.0,131.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติกรุงเทพมหานคร 11,5.0,6.0,35.0,44.0,32.0,30.0,81.0,46.0,43.0,81.0,81.0,29.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดกระบี่,126.0,96.0,183.0,211.0,154.0,199.0,181.0,150.0,145.0,134.0,161.0,139.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดกาญจนบุรี,22.0,29.0,54.0,99.0,34.0,45.0,45.0,58.0,59.0,58.0,42.0,45.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดกาฬสินธุ์,133.0,304.0,282.0,419.0,326.0,445.0,1049.0,833.0,617.0,430.0,772.0,556.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดกำแพงเพชร,68.0,62.0,210.0,232.0,147.0,141.0,149.0,139.0,163.0,147.0,262.0,197.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดขอนแก่น,114.0,159.0,263.0,525.0,518.0,878.0,842.0,853.0,786.0,572.0,827.0,557.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดขอนแก่น สาขาชุมแพ,42.0,51.0,107.0,136.0,108.0,159.0,267.0,156.0,227.0,135.0,192.0,184.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดขอนแก่น สาขาพล,55.0,55.0,146.0,216.0,137.0,339.0,384.0,266.0,287.0,155.0,189.0,189.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดจันทบุรี,25.0,55.0,173.0,269.0,99.0,186.0,283.0,148.0,178.0,127.0,168.0,91.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดฉะเชิงเทรา,55.0,47.0,123.0,190.0,150.0,134.0,266.0,182.0,179.0,197.0,172.0,195.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดชลบุรี,168.0,177.0,305.0,410.0,392.0,507.0,565.0,491.0,383.0,424.0,580.0,373.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดชัยนาท,26.0,21.0,81.0,114.0,107.0,140.0,148.0,109.0,104.0,118.0,149.0,74.0,2565,,,,,,,,,,,,
