ฐานความผิด,เดือน ต.ค.2564,เดือน พ.ย.2564,เดือน ธ.ค.2564,เดือน ม.ค.2565,เดือน ก.พ.2565,เดือน มี.ค.2565,เดือน เม.ย.2565,เดือน พ.ค.2565,เดือน มิ.ย.2565,เดือน ก.ค.2565,เดือน ส.ค.2565,เดือน ก.ย.2565
ความผิดเกี่ยวกับทรัพย์,405,423,487,440,433,609,444,487,529,473,627,544
ความผิดเกี่ยวกับเพศ,32,35,36,45,50,69,24,43,47,54,61,56
ความผิดเกี่ยวกับเอกสาร,39,37,39,35,35,57,18,37,39,34,45,51
ความผิดฐานขับรถประมาท,490,560,534,435,530,692,439,489,574,448,583,556
ความผิดฐานบุกรุก,68,102,125,103,115,145,99,101,141,91,161,119
ความผิดต่อเจ้าพนักงาน,20,34,76,25,31,61,34,41,52,46,81,114
ความผิดต่อชีวิตและร่างกาย,244,279,282,207,232,321,181,226,271,234,270,298
ความผิดต่อเสรีภาพ,2,4,9,4,8,7,8,6,6,9,7,8
พ.ร.บ. การพนัน,47,122,81,53,97,151,97,55,59,68,68,60
พ.ร.บ. จราจรทางบก,1030,1718,3607,9304,2130,2383,10799,2830,2726,2469,2486,1867
พ.ร.บ. ป่าไม้ ป่าสงวน,59,50,70,46,46,64,60,65,64,71,75,63
พ.ร.ก. สารระเหย,6,3,5,12,7,8,7,6,14,6,6,4
พ.ร.บ. ยาเสพติด,3904,4477,11451,12573,13209,15917,13556,15949,17061,13698,17936,14590
ประมวลกฎหมายยาเสพติด,0,1,30,153,164,196,128,130,142,147,209,143
พ.ร.บ. อาวุธปืน,160,190,230,216,234,315,222,290,289,216,270,230
พ.ร.บ. อื่นๆ,137,169,163,143,137,198,129,155,179,132,206,179
อื่นๆ,174,121,141,76,107,115,76,84,96,72,118,152
